const beatmap = [
  [1739, 62, 1],
  [217, 69, 2],
  [217, 73, 2],
  [217, 82, 2],
  [217, 92, 2],
  [217, 73, 2],
  [217, 92, 2],
  [434, 87, 2],
  [217, 69, 2],
  [217, 87, 2],
  [434, 82, 2],
  [217, 65, 2],
  [217, 82, 2],
  [434, 62, 2],
  [217, 69, 2],
  [217, 73, 2],
  [217, 82, 2],
  [217, 92, 2],
  [217, 73, 2],
  [217, 92, 2],
  [217, 123, 2],
  [217, 110, 2],
  [217, 92, 2],
  [217, 73, 2],
  [217, 92, 2],
  [217, 110, 2],
  [869, 123, 2],
  [217, 139, 2],
  [217, 147, 2],
  [217, 165, 2],
  [217, 185, 2],
  [217, 147, 2],
  [217, 185, 2],
  [434, 175, 2],
  [217, 139, 2],
  [217, 175, 2],
  [434, 165, 2],
  [217, 131, 2],
  [217, 165, 2],
  [434, 123, 2],
  [217, 139, 2],
  [217, 147, 2],
  [217, 165, 2],
  [217, 185, 2],
  [217, 147, 2],
  [217, 185, 2],
  [217, 247, 2],
  [217, 220, 2],
  [217, 185, 2],
  [217, 147, 2],
  [217, 185, 2],
  [217, [110, 220], 2],
  [869, 92, 2],
  [217, 104, 2],
  [217, 117, 2],
  [217, 123, 2],
  [217, 139, 2],
  [217, 117, 2],
  [217, 139, 2],
  [434, 147, 2],
  [217, 117, 2],
  [217, 147, 2],
  [434, 139, 2],
  [217, 117, 2],
  [217, 139, 2],
  [434, 92, 2],
  [217, 104, 2],
  [217, 117, 2],
  [217, 123, 2],
  [217, 139, 2],
  [217, 117, 2],
  [217, 139, 2],
  [434, 147, 2],
  [217, 117, 2],
  [217, 147, 2],
  [434, 139, 2],
  [869, 185, 2],
  [217, 208, 2],
  [217, 233, 2],
  [217, 247, 2],
  [217, 277, 2],
  [217, 233, 2],
  [217, 277, 2],
  [434, 294, 2],
  [217, 233, 2],
  [217, 294, 2],
  [434, 277, 2],
  [217, 233, 2],
  [217, 277, 2],
  [434, 185, 2],
  [217, 208, 2],
  [217, 233, 2],
  [217, 247, 2],
  [217, 277, 2],
  [217, 233, 2],
  [217, 277, 2],
  [434, 294, 2],
  [217, 233, 2],
  [217, 294, 2],
  [434, 277, 2],
  [869, 62, 2],
  [211, 69, 2],
  [211, 73, 2],
  [211, 82, 2],
  [211, 92, 2],
  [211, 73, 2],
  [211, 92, 2],
  [422, 87, 2],
  [211, 69, 2],
  [211, 87, 2],
  [422, 82, 2],
  [211, 65, 2],
  [211, 82, 2],
  [422, 62, 2],
  [211, 69, 2],
  [211, 73, 2],
  [211, 82, 2],
  [211, 92, 2],
  [211, 73, 2],
  [211, 92, 2],
  [211, 123, 2],
  [211, 110, 2],
  [211, 92, 2],
  [211, 73, 2],
  [211, 92, 2],
  [211, 110, 2],
  [845, 123, 2],
  [211, 139, 2],
  [211, 147, 2],
  [211, 165, 2],
  [211, 185, 2],
  [211, 147, 2],
  [211, 185, 2],
  [422, 175, 2],
  [211, 139, 2],
  [211, 175, 2],
  [422, 165, 2],
  [211, 131, 2],
  [211, 165, 2],
  [422, 123, 2],
  [211, 139, 2],
  [211, 147, 2],
  [211, 165, 2],
  [211, 185, 2],
  [211, 147, 2],
  [211, 185, 2],
  [211, 247, 2],
  [211, 185, 2],
  [211, 147, 2],
  [211, 185, 2],
  [211, 247, 2],
  [211, 123, 2],
  [845, 247, 2],
  [211, 277, 2],
  [211, [185, 294], 2],
  [211, 330, 2],
  [211, 370, 2],
  [211, 294, 2],
  [211, [185, 370], 2],
  [422, 349, 2],
  [211, 277, 2],
  [211, [185, 349], 2],
  [422, 330, 2],
  [211, 262, 2],
  [211, [185, 330], 2],
  [422, 247, 2],
  [211, 277, 2],
  [211, [185, 294], 2],
  [211, 330, 2],
  [211, 370, 2],
  [211, 294, 2],
